"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9752","test","chrome","Tue Nov 26 14:28:32 IST 2024","passed","Tue Nov 26 14:28:42 IST 2024","","BookFlight_Verify_Ticket.spec.js","",""
"","8733","Single Element Snapshot","chrome","Wed Nov 27 16:51:28 IST 2024","passed","Wed Nov 27 16:51:37 IST 2024","Visual Regression Testing Example","visual.spec.js","",""
"","5576","test","chrome","Wed Nov 27 11:03:34 IST 2024","passed","Wed Nov 27 11:03:40 IST 2024","","ViewPort_WebOrder_Login.spec.js","",""
"","7812","@regression OrangeHRM: TC7","chrome","Tue Nov 26 16:24:34 IST 2024","passed","Tue Nov 26 16:24:42 IST 2024","OrangeHRM","OrangHRM_AddUser_All_TCs.spec.js","",""
"","7671","@regression OrangeHRM: TC4","chrome","Tue Nov 26 16:24:11 IST 2024","passed","Tue Nov 26 16:24:19 IST 2024","OrangeHRM","OrangHRM_AddUser_All_TCs.spec.js","",""
"","471","PUT Request - Update Notes","chrome","Mon Oct 21 15:03:30 IST 2024","passed","Mon Oct 21 15:03:31 IST 2024","Create Notes API Testing","Update_Notes.spec.js","",""
"","14343","Full Page Snapshot","chrome","Wed Nov 27 16:51:14 IST 2024","passed","Wed Nov 27 16:51:28 IST 2024","Visual Regression Testing Example","visual.spec.js","",""
"","1","Go to Order Page","chrome","Wed Nov 27 10:33:29 IST 2024","skipped","Wed Nov 27 10:33:29 IST 2024","Hooks Example in Playwright","Skip_Tests_Scenario.spec.js","",""
"","1","Weborder Login Functionality @sanity","chrome","Thu Nov 28 10:55:50 IST 2024","skipped","Thu Nov 28 10:55:50 IST 2024","","NopCom_Login_CreateCustomer.spec.js","",""
"","7458","Create Order - Verify Order","chrome","Tue Nov 26 09:50:14 IST 2024","passed","Tue Nov 26 09:50:22 IST 2024","","WebOrder_CreateOrder_VerifyOrder.spec.js","",""
"","17670","@regression OrangeHRM: TC1","chrome","Tue Nov 26 16:23:40 IST 2024","passed","Tue Nov 26 16:23:57 IST 2024","OrangeHRM","OrangHRM_AddUser_All_TCs.spec.js","",""
"","8187","ReadData Login: @sanity","chrome","Tue Nov 26 12:11:26 IST 2024","passed","Tue Nov 26 12:11:35 IST 2024","","ReadData_From_JSON_WebOrder_Login_All_TCs.spec.js","",""
"","16045","Scroll To Particular Element Example @sanity","chrome","Wed Nov 27 16:34:25 IST 2024","passed","Wed Nov 27 16:34:41 IST 2024","","ScrollToElement_Example.spec.js","",""
"","7843","@regression OrangeHRM: TC6","chrome","Tue Nov 26 16:24:27 IST 2024","passed","Tue Nov 26 16:24:34 IST 2024","OrangeHRM","OrangHRM_AddUser_All_TCs.spec.js","",""
"","6892","Create Order-Update Order- Verify Order @smoke","chrome","Thu Nov 28 13:00:13 IST 2024","passed","Thu Nov 28 13:00:20 IST 2024","","WebOrder_Update_Order_VerifyOrder.spec.js","",""
"","8366","Read Test data based on different env in playwright","chrome","Wed Nov 27 09:12:05 IST 2024","passed","Wed Nov 27 09:12:14 IST 2024","","readdatabasedonenv.spec.js","",""
"","9529","@regression OrangeHRM: TC9","chrome","Tue Nov 26 16:24:50 IST 2024","passed","Tue Nov 26 16:25:00 IST 2024","OrangeHRM","OrangHRM_AddUser_All_TCs.spec.js","",""
"","5585","Go to View All Order Page","chrome","Wed Nov 27 10:33:29 IST 2024","passed","Wed Nov 27 10:33:35 IST 2024","Hooks Example in Playwright","Skip_Tests_Scenario.spec.js","",""
"","0","OrangeHRM","chrome","Wed Nov 27 11:46:16 IST 2024","skipped","Wed Nov 27 11:46:16 IST 2024","","WebOrder_Calling_baseURL_From_Config.spec.js","",""
"","2381","@regression WebOrder Login: TC5","chrome","Thu Nov 28 13:00:11 IST 2024","passed","Thu Nov 28 13:00:13 IST 2024","","ReadData_From_JSON_WebOrder_Login_All_TCs.spec.js","",""
"","1393","POST Request - Create Notes","chrome","Mon Oct 21 15:03:29 IST 2024","passed","Mon Oct 21 15:03:30 IST 2024","Create Notes API Testing","Update_Notes.spec.js","",""
"","1135","Put Request - Update Notes","chrome","Mon Oct 21 14:57:54 IST 2024","failed","Mon Oct 21 14:57:55 IST 2024","Create Notes API Testing","Update_Notes_CallingToken.spec.js","",""
"","0","BalzeDemo","webkit","Wed Nov 27 10:46:50 IST 2024","skipped","Wed Nov 27 10:46:50 IST 2024","","Skip_Conditional_Blazedemo.spec.js","",""
"","7704","Right Clieck","chrome","Wed Nov 27 14:51:41 IST 2024","passed","Wed Nov 27 14:51:49 IST 2024","","Right_Click_Example.spec.js","",""
"","9087","Single Element Snapshot","webkit","Wed Nov 27 16:58:30 IST 2024","passed","Wed Nov 27 16:58:39 IST 2024","Visual Regression Testing Example","visual.spec.js","",""
"","3801","WebOrder Login","chrome","Thu Nov 28 13:09:24 IST 2024","passed","Thu Nov 28 13:09:28 IST 2024","","WebOrder_Login.spec.js","",""
"","8033","Create Order","chrome","Tue Nov 26 10:56:34 IST 2024","passed","Tue Nov 26 10:56:42 IST 2024","E2E WebOrder Application","WebOrder_Individual_Test_Block_UsingBrowser.spec.js","",""
"","6256","@regression OrangeHRM: TC3","chrome","Tue Nov 26 16:24:05 IST 2024","passed","Tue Nov 26 16:24:11 IST 2024","OrangeHRM","OrangHRM_AddUser_All_TCs.spec.js","",""
"","2","Update Request - Update Notes","chrome","Mon Oct 21 14:57:53 IST 2024","skipped","Mon Oct 21 14:57:53 IST 2024","Create Notes API Testing","Update_Notes_CallingToken.spec.js","",""
"","9219","Read Env File in playwright","chrome","Wed Nov 27 09:12:36 IST 2024","passed","Wed Nov 27 09:12:45 IST 2024","","Readenvfile.spec.js","",""
"","6152","Balzedemo - Booking flight","chrome","Thu Nov 28 10:57:58 IST 2024","passed","Thu Nov 28 10:58:04 IST 2024","","BookFlight_Verify_Ticket.spec.js","",""
"","26909","test Personal","chrome","Thu Nov 28 12:29:48 IST 2024","failed","Thu Nov 28 12:30:14 IST 2024","Exercise 3","Exercise3.spec.js","",""
"","2","Positive Scenario for login + logout","chrome","Mon Oct 21 18:03:14 IST 2024","skipped","Mon Oct 21 18:03:14 IST 2024","Login / Logout Flow","Skip_Test_Using_Serial_Example.spec.js","",""
"","4578","Weborder Login Functionality @sanity","chrome","Wed Nov 27 14:46:43 IST 2024","passed","Wed Nov 27 14:46:47 IST 2024","","WebOrder_Login_Using_Keyboard.spec.js","",""
"","23977","Scrap Title and Price of Products @smoke","chrome","Wed Nov 27 12:49:02 IST 2024","passed","Wed Nov 27 12:49:26 IST 2024","","Name_Price_Scrapper_Pagination.spec.js","",""
"","35256","Create Order - Verify Order","chrome","Tue Nov 26 10:53:27 IST 2024","broken","Tue Nov 26 10:54:02 IST 2024","","WebOrder_Individual_TestBlock.spec.js","",""
"","9971","test Home","chrome","Thu Nov 28 12:42:02 IST 2024","passed","Thu Nov 28 12:42:12 IST 2024","Exercise 2","Exercise2.spec.js","",""
"","7528","BalzeDemo","chrome","Wed Nov 27 10:43:37 IST 2024","passed","Wed Nov 27 10:43:45 IST 2024","","Skip_Conditional_Blazedemo.spec.js","",""
"","2705","Delete Order","chrome","Tue Nov 26 10:56:47 IST 2024","passed","Tue Nov 26 10:56:50 IST 2024","E2E WebOrder Application","WebOrder_Individual_Test_Block_UsingBrowser.spec.js","",""
"","15803","Create Order-Update Order- Verify Order@smoke","chrome","Wed Nov 27 16:22:52 IST 2024","failed","Wed Nov 27 16:23:08 IST 2024","","SoftAssertions_Example.spec.js","",""
"","5270","Login Test case","chrome","Tue Nov 26 10:53:26 IST 2024","passed","Tue Nov 26 10:53:32 IST 2024","","WebOrder_Individual_TestBlock.spec.js","",""
"","29183","test Work","chrome","Thu Nov 28 12:29:48 IST 2024","failed","Thu Nov 28 12:30:17 IST 2024","Exercise 3","Exercise3.spec.js","",""
"","1","TO Test Login Functionality-Writtern Scripts","webkit","Wed Nov 27 10:46:50 IST 2024","skipped","Wed Nov 27 10:46:50 IST 2024","","Skip_Conditional_Blazedemo.spec.js","",""
"","1","TO Test Login Functionality-Writtern Scripts","firefox","Wed Nov 27 10:46:50 IST 2024","skipped","Wed Nov 27 10:46:50 IST 2024","","Skip_Conditional_Blazedemo.spec.js","",""
"","42","BalzeDemo","webkit","Wed Nov 27 10:54:16 IST 2024","skipped","Wed Nov 27 10:54:16 IST 2024","chromium only","Skip_Conditional_GroupLevel.spec.js","",""
"","35215","Logout","chrome","Tue Nov 26 10:53:33 IST 2024","broken","Tue Nov 26 10:54:08 IST 2024","","WebOrder_Individual_TestBlock.spec.js","",""
"","6781","Drag and Drop Exp 2","chrome","Wed Nov 27 15:13:35 IST 2024","passed","Wed Nov 27 15:13:41 IST 2024","","Drag_Drop.spec.js","",""
"","0","Weborder Login Functionality @sanity","chrome","Thu Nov 28 10:55:50 IST 2024","skipped","Thu Nov 28 10:55:50 IST 2024","","NopCom_Login.spec.js","",""
"","4496","@regression WebOrder Login: TC1","chrome","Thu Nov 28 13:00:00 IST 2024","passed","Thu Nov 28 13:00:04 IST 2024","","ReadData_From_JSON_WebOrder_Login_All_TCs.spec.js","",""
"","7544","@regression OrangeHRM: TC2","chrome","Tue Nov 26 16:23:57 IST 2024","passed","Tue Nov 26 16:24:05 IST 2024","OrangeHRM","OrangHRM_AddUser_All_TCs.spec.js","",""
"","4835","BalzeDemo","chrome","Wed Nov 27 10:54:05 IST 2024","passed","Wed Nov 27 10:54:10 IST 2024","chromium only","Skip_Conditional_GroupLevel.spec.js","",""
"","701","POST Request - Access Token","chrome","Fri Oct 18 17:38:15 IST 2024","passed","Fri Oct 18 17:38:16 IST 2024","Access Token","Authenticate_Access_Token.spec.js","",""
"","4568","WebOrder App","chrome","Tue Nov 26 17:11:15 IST 2024","failed","Tue Nov 26 17:11:20 IST 2024","WebOrder All Test Scenario","Read_DataFrom_Excel_WebordersAPP_AllScenario_New.spec.js","",""
"","1171","Get Default Country","chrome","Fri Oct 18 17:26:49 IST 2024","passed","Fri Oct 18 17:26:50 IST 2024","API Testing","GET_Get_Default_Country.spec.js","",""
"","17","TO Test Login Functionality-Writtern Scripts","firefox","Wed Nov 27 10:54:15 IST 2024","skipped","Wed Nov 27 10:54:15 IST 2024","chromium only","Skip_Conditional_GroupLevel.spec.js","",""
"","8959","Create Order-Update Order- Verify Order@smoke","chrome","Thu Nov 28 12:57:33 IST 2024","passed","Thu Nov 28 12:57:42 IST 2024","","ScrapData_BaseClass_Method.spec.js","",""
"","21383","test","chrome","Tue Nov 05 21:47:55 IST 2024","failed","Tue Nov 05 21:48:16 IST 2024","","WebOrder_Webtable_Verify_text.spec.js","",""
"","5354","Yatra Login Page","chrome","Wed Nov 27 14:35:07 IST 2024","passed","Wed Nov 27 14:35:12 IST 2024","","Yatra_Mouse_Hover.spec.js","",""
"","40","BalzeDemo","firefox","Wed Nov 27 10:54:15 IST 2024","skipped","Wed Nov 27 10:54:15 IST 2024","chromium only","Skip_Conditional_GroupLevel.spec.js","",""
"","6401","Launch the OrangeHRM Page","chrome","Wed Nov 27 15:26:07 IST 2024","passed","Wed Nov 27 15:26:13 IST 2024","","Evaluate_Color_FontSize_Example.spec.js","",""
"","8210","Delete test","chrome","Mon Oct 21 17:32:56 IST 2024","passed","Mon Oct 21 17:33:05 IST 2024","Create Notes API Testing","CreateNotes_Using_API_Delete_Using_UI.spec.js","",""
"","5756","Go to View All Order Page","webkit","Thu Nov 28 09:59:03 IST 2024","passed","Thu Nov 28 09:59:09 IST 2024","WebOrder E2E Test tests","WebOrder_Login_CallingBaseClass.spec.js","",""
"","4549","View Port Test cases @sanity @smoke","chrome","Thu Nov 28 13:09:20 IST 2024","passed","Thu Nov 28 13:09:24 IST 2024","","ViewPort_WebOrder_Login.spec.js","",""
"","1625","POST Request - Create Notes","chrome","Mon Oct 21 17:32:55 IST 2024","passed","Mon Oct 21 17:32:56 IST 2024","Create Notes API Testing","CreateNotes_Using_API_Delete_Using_UI.spec.js","",""
"","2141","@regression WebOrder Login: TC2","chrome","Thu Nov 28 13:00:04 IST 2024","passed","Thu Nov 28 13:00:06 IST 2024","","ReadData_From_JSON_WebOrder_Login_All_TCs.spec.js","",""
"","4609","TO Test Login Functionality-Writtern Scripts","chrome","Wed Nov 27 10:54:10 IST 2024","passed","Wed Nov 27 10:54:14 IST 2024","chromium only","Skip_Conditional_GroupLevel.spec.js","",""
"","8406","Blazedemo @smoke","chrome","Tue Nov 26 14:14:12 IST 2024","passed","Tue Nov 26 14:14:20 IST 2024","","BookFlight_Verify_Ticket.spec.js","",""
"","1455","POST Request - Create Notes","chrome","Mon Oct 21 14:57:54 IST 2024","passed","Mon Oct 21 14:57:56 IST 2024","Create Notes API Testing","Update_Notes_CallingToken.spec.js","",""
"","5681","Go to Order Page","chrome","Thu Nov 28 10:23:58 IST 2024","passed","Thu Nov 28 10:24:04 IST 2024","WebOrder E2E Test tests","WebOrder_Login_CallingBaseClass.spec.js","",""
"","6323","Go to View All Order Page","Mobile Chrome","Thu Nov 28 10:25:15 IST 2024","passed","Thu Nov 28 10:25:21 IST 2024","WebOrder E2E Test tests","WebOrder_Login_CallingBaseClass.spec.js","",""
"","4443","Go to View all products Page","chrome","Wed Nov 27 10:33:35 IST 2024","passed","Wed Nov 27 10:33:39 IST 2024","Hooks Example in Playwright","Skip_Tests_Scenario.spec.js","",""
"","8200","Create Order-Update Order- Verify Order@smoke","chrome","Mon Nov 25 17:08:55 IST 2024","passed","Mon Nov 25 17:09:03 IST 2024","","WebOrder_Update_Order_VerifyOrder.spec.js","",""
"","7649","Drag and Drop Exp 1","chrome","Wed Nov 27 15:13:27 IST 2024","passed","Wed Nov 27 15:13:35 IST 2024","","Drag_Drop.spec.js","",""
"","1563","POST Request - Create Notes","chrome","Mon Oct 21 14:18:52 IST 2024","passed","Mon Oct 21 14:18:53 IST 2024","Create Notes API Testing","Create_Notes.spec.js","",""
"","9353","Notes App","chrome","Wed Nov 27 11:46:07 IST 2024","passed","Wed Nov 27 11:46:16 IST 2024","","WebOrder_Calling_baseURL_From_Config.spec.js","",""
"","14523","Full Page Snapshot","webkit","Wed Nov 27 16:58:15 IST 2024","passed","Wed Nov 27 16:58:30 IST 2024","Visual Regression Testing Example","visual.spec.js","",""
"","7731","@regression OrangeHRM: TC8","chrome","Tue Nov 26 16:24:42 IST 2024","passed","Tue Nov 26 16:24:50 IST 2024","OrangeHRM","OrangHRM_AddUser_All_TCs.spec.js","",""
"","2141","@regression WebOrder Login: TC3","chrome","Thu Nov 28 13:00:06 IST 2024","passed","Thu Nov 28 13:00:09 IST 2024","","ReadData_From_JSON_WebOrder_Login_All_TCs.spec.js","",""
"","7878","@regression OrangeHRM: TC5","chrome","Tue Nov 26 16:24:19 IST 2024","passed","Tue Nov 26 16:24:27 IST 2024","OrangeHRM","OrangHRM_AddUser_All_TCs.spec.js","",""
"","0","Go to Order Page","chrome","Thu Nov 28 10:55:50 IST 2024","skipped","Thu Nov 28 10:55:50 IST 2024","WebOrder E2E Test tests @sanity","WebOrder_Login_CallingBaseClass.spec.js","",""
"","2456","Update Order - Verify Order","chrome","Tue Nov 26 10:53:27 IST 2024","failed","Tue Nov 26 10:53:29 IST 2024","","WebOrder_Individual_TestBlock.spec.js","",""
"","14772","test Home","chrome","Thu Nov 28 12:29:48 IST 2024","passed","Thu Nov 28 12:30:02 IST 2024","Exercise 3","Exercise3.spec.js","",""
"","1","BalzeDemo","chrome","Mon Oct 21 18:03:14 IST 2024","skipped","Mon Oct 21 18:03:14 IST 2024","Login / Logout Flow","Skip_Test_Using_Serial_Example.spec.js","",""
"","5653","Right Clieck","chrome","Wed Nov 27 15:02:23 IST 2024","passed","Wed Nov 27 15:02:28 IST 2024","","File_Upload.spec.js","",""
"","13870","Create Order - Verify Order @sanity","chrome","Tue Nov 26 10:17:15 IST 2024","passed","Tue Nov 26 10:17:29 IST 2024","","WebOrder_DeleteOrder_VerifyOrder.spec.js","",""
"","9958","test Work","chrome","Thu Nov 28 12:41:52 IST 2024","passed","Thu Nov 28 12:42:02 IST 2024","Exercise 2","Exercise2.spec.js","",""
"","5209","test","chrome","Mon Nov 25 15:26:53 IST 2024","passed","Mon Nov 25 15:26:58 IST 2024","","WebOrder_Login_Using_Xpath.spec.js","",""
"","11083","Create Order Unique Order- Verify Order @smoke","chrome","Thu Nov 28 12:57:47 IST 2024","passed","Thu Nov 28 12:57:58 IST 2024","","WebOrder_Create_Unique_Order_VerifyOrder.spec.js","",""
"","5694","Flipcart Login Page Mouse Hover","chrome","Wed Nov 27 14:37:04 IST 2024","passed","Wed Nov 27 14:37:10 IST 2024","","Flipcart_Mouse_Hover.spec.js","",""
"","20972","WebOrder Login Test","chrome","Mon Nov 25 15:09:06 IST 2024","passed","Mon Nov 25 15:09:27 IST 2024","","WebOrder_Pause_Example.spec.js","",""
"","2081","@regression WebOrder Login: TC4","chrome","Thu Nov 28 13:00:09 IST 2024","passed","Thu Nov 28 13:00:11 IST 2024","","ReadData_From_JSON_WebOrder_Login_All_TCs.spec.js","",""
"","34181","Negative Scenario for login","chrome","Mon Oct 21 18:02:40 IST 2024","broken","Mon Oct 21 18:03:14 IST 2024","Login / Logout Flow","Skip_Test_Using_Serial_Example.spec.js","",""
"","5984","WebOrder App","chrome","Tue Nov 26 17:12:00 IST 2024","passed","Tue Nov 26 17:12:06 IST 2024","WebOrder All Test Scenario","Read_DataFrom_Excel_WebordersAPP_AllScenario.spec.js","",""
"","0","Go to View All Order Page","chrome","Thu Nov 28 10:55:50 IST 2024","skipped","Thu Nov 28 10:55:50 IST 2024","WebOrder E2E Test tests @sanity","WebOrder_Login_CallingBaseClass.spec.js","",""
"","4978","Go to View All Order Page","chrome","Thu Nov 28 10:24:04 IST 2024","passed","Thu Nov 28 10:24:09 IST 2024","WebOrder E2E Test tests","WebOrder_Login_CallingBaseClass.spec.js","",""
"","9064","Date Picker in playwright","chrome","Tue Nov 26 09:20:14 IST 2024","passed","Tue Nov 26 09:20:23 IST 2024","","Date_Calendar_Example.spec.js","",""
